"country","sum","?column?"
"Tuvalu",93.78,NULL
"Ethiopia",91.77,NULL
"Kuwait",106.75,NULL
"Armenia",118.75,NULL
"American Samoa",47.85,NULL
"Hungary",111.71,NULL
"Sri Lanka",103.73,NULL
"Finland",78.79,NULL
"Anguilla",99.68,NULL
"Faroe Islands",96.76,NULL
"Afghanistan",67.82,NULL
"Senegal",95.76,NULL
"Hong Kong",104.76,NULL
"Bahrain",108.76,NULL
"Nauru",143.70,0.23625608907446068198
"Saint Vincent and the Grenadines",64.82,0.21551990126504165381
"Madagascar",92.79,0.16122426985666558896
"Paraguay",273.40,0.14967081199707388442
"Bangladesh",353.19,0.12435233160621761658
"Yugoslavia",233.49,0.11970534069981583794
"Thailand",401.08,0.10454273461653535454
"Peru",407.01,0.10297044298665880445
"Puerto Rico",224.48,0.10228082679971489665
"Congo, The Democratic Republic of the",168.58,0.10060505398030608613
"Liechtenstein",99.74,0.10006015640665730900
"Runion",211.55,0.09907823209643110376
"Virgin Islands, U.S.",121.69,0.09844687320239953981
"Romania",218.42,0.09591612489698745536
"New Zealand",85.77,0.09303952430919902064
"Greece",204.54,0.09274469541409993155
"Azerbaijan",198.53,0.09041454691986097819
"Cambodia",179.51,0.08902011030026182385
"Netherlands",557.73,0.08233374571925483657
"Zambia",121.70,0.08200493015612161052
"French Guiana",97.80,0.08169734151329243354
"Sudan",202.51,0.07886030319490395536
"Colombia",661.54,0.07845330592254436618
"Lithuania",63.78,0.07823769206647851991
"Venezuela",632.43,0.07572379551887165378
"Saudi Arabia",452.94,0.07491058418333554113
"Tanzania",322.22,0.07432809881447458258
"Oman",161.56,0.07409012131715771231
"Myanmar",179.53,0.07224419317105776193
"South Korea",527.77,0.06995471512211758910
"Gambia",114.73,0.06964176762834480955
"Turkey",1498.49,0.06855567938391313923
"Spain",513.80,0.06798365122615803815
"United States",3685.31,0.06795629132963034317
"Nigeria",1314.92,0.06753262555896936696
"Kazakstan",192.51,0.06726923276712898031
"Poland",786.16,0.06726366134120280859
"Brazil",2919.19,0.06598063161356403660
"Malawi",121.73,0.06563706563706563707
"Nepal",93.83,0.06383885750825961846
"South Africa",1069.46,0.06345258354683672134
"Egypt",659.48,0.06201856007763692606
"Angola",187.55,0.05838443081844841376
"Malaysia",330.23,0.05741452926748024104
"India",6034.78,0.05702941946516691578
"Dominican Republic",304.26,0.05574179977650693486
"Iran",877.96,0.05567451820128479657
"North Korea",107.71,0.05561229226627054127
"Brunei",107.66,0.05554523499907114992
"Belarus",271.36,0.05516656839622641509
"France",334.12,0.05372321321680833234
"China",5251.03,0.05357615553519976081
"Cameroon",186.49,0.05346131159847713014
"Czech Republic",132.72,0.05259192284508740205
"Mexico",2984.82,0.05115886385108649768
"Taiwan",1155.10,0.05010821573889706519
"Chad",122.72,0.04872881355932203390
"Philippines",2219.70,0.04853809073298193450
"Pakistan",473.84,0.04841296640216106703
"Latvia",249.43,0.04802950727659062663
"Israel",379.13,0.04739799013530978820
"Estonia",105.72,0.04720015134317063942
"Tonga",64.84,0.04611351017890191240
"Japan",3122.51,0.04473004089658640004
"Indonesia",1352.69,0.04352068840606495206
"Germany",741.24,0.04307646646160487831
"Argentina",1298.80,0.04301663073606405913
"Sweden",139.67,0.04288680461086847569
"Vietnam",676.45,0.04272303939685120852
"Russian Federation",2765.62,0.04182425640543530926
"Kenya",245.49,0.04065338710334433174
"Morocco",274.35,0.03994897029342081283
"Mozambique",315.25,0.03800158604282315623
"Italy",753.26,0.03706555505403180841
"Slovakia",80.77,0.03701869506004704717
"Iraq",111.73,0.03571108923297234404
"Ukraine",675.53,0.03546844699717259041
"Ecuador",369.18,0.03513191397150441519
"Holy See (Vatican City State)",146.68,0.03401963457867466594
"Chile",303.34,0.03290037581591613371
"United Arab Emirates",305.25,0.02941850941850941851
"Canada",559.70,0.02851527604073610863
"Bolivia",178.56,0.02794578853046594982
"Tunisia",73.78,0.02697207915424234210
"Bulgaria",194.52,0.02565288916306806498
"Austria",284.30,0.02458670418571931059
"Turkmenistan",126.74,0.02359160486034401136
"Yemen",473.93,0.02103686198383727555
"United Kingdom",850.96,0.01756839334398796653
"Algeria",349.18,0.01715447620138610459
"Moldova",127.66,0.01558828137239542535
"Greenland",119.72,0.00826929502171734046
"Switzerland",248.41,0.00398534680568415120
"French Polynesia",205.52,0E-20
