"country","city","sum"
"Afghanistan","Kabul",67.82
"Afghanistan",NULL,67.82
"Algeria","Batna",107.73
"Algeria","Bchar",89.77
"Algeria","Skikda",151.68
"Algeria",NULL,349.18
"American Samoa","Tafuna",47.85
"American Samoa",NULL,47.85
"Angola","Benguela",93.80
"Angola","Namibe",93.75
"Angola",NULL,187.55
"Anguilla","South Hill",99.68
"Anguilla",NULL,99.68
"Argentina","Almirante Brown",85.78
"Argentina","Avellaneda",129.71
"Argentina","Baha Blanca",81.81
"Argentina","Crdoba",85.77
"Argentina","Escobar",96.76
"Argentina","Ezeiza",75.78
"Argentina","La Plata",124.71
"Argentina","Merlo",114.72
"Argentina","Quilmes",117.76
"Argentina","San Miguel de Tucumn",77.77
"Argentina","Santa F",105.78
"Argentina","Tandil",101.70
"Argentina","Vicente Lpez",100.75
"Argentina",NULL,1298.80
"Armenia","Yerevan",118.75
"Armenia",NULL,118.75
"Austria","Graz",111.73
"Austria","Linz",58.83
"Austria","Salzburg",113.74
"Austria",NULL,284.30
"Azerbaijan","Baku",89.78
"Azerbaijan","Sumqayit",108.75
"Azerbaijan",NULL,198.53
"Bahrain","al-Manama",108.76
"Bahrain",NULL,108.76
"Bangladesh","Dhaka",107.74
"Bangladesh","Jamalpur",98.77
"Bangladesh","Tangail",146.68
"Bangladesh",NULL,353.19
"Belarus","Mogiljov",81.76
"Belarus","Molodetno",189.60
"Belarus",NULL,271.36
"Bolivia","El Alto",85.78
"Bolivia","Sucre",92.78
"Bolivia",NULL,178.56
"Brazil","Alvorada",75.79
"Brazil","Angra dos Reis",92.80
"Brazil","Anpolis",93.75
"Brazil","Aparecida de Goinia",90.78
"Brazil","Araatuba",85.77
"Brazil","Bag",73.85
"Brazil","Belm",140.69
"Brazil","Blumenau",126.73
"Brazil","Boa Vista",130.68
"Brazil","Braslia",72.82
"Brazil","Goinia",122.74
"Brazil","Guaruj",107.77
"Brazil","Ibirit",68.87
"Brazil","Juazeiro do Norte",92.81
"Brazil","Juiz de Fora",134.73
"Brazil","Luzinia",75.78
"Brazil","Maring",76.82
"Brazil","Po",102.75
"Brazil","Poos de Caldas",107.70
"Brazil","Rio Claro",96.74
"Brazil","Santa Brbara dOeste",194.61
"Brazil","Santo Andr",125.67
"Brazil","So Bernardo do Campo",92.80
"Brazil","So Leopoldo",93.79
"Brazil","Sorocaba",113.71
"Brazil","Vila Velha",141.71
"Brazil","Vitria de Santo Anto",98.75
"Brazil","guas Lindas de Gois",87.78
"Brazil",NULL,2919.19
"Brunei","Bandar Seri Begawan",107.66
"Brunei",NULL,107.66
"Bulgaria","Ruse",112.76
"Bulgaria","Stara Zagora",81.76
"Bulgaria",NULL,194.52
"Cambodia","Battambang",92.76
"Cambodia","Phnom Penh",86.75
"Cambodia",NULL,179.51
"Cameroon","Bamenda",96.78
"Cameroon","Yaound",89.71
"Cameroon",NULL,186.49
"Canada","Gatineau",87.80
"Canada","Halifax",89.76
"Canada","Oshawa",87.79
"Canada","Richmond Hill",167.62
"Canada","Vancouver",126.73
"Canada",NULL,559.70
"Chad","NDjamna",122.72
"Chad",NULL,122.72
"Chile","Antofagasta",124.74
"Chile","Coquimbo",110.74
"Chile","Rancagua",67.86
"Chile",NULL,303.34
"China","Baicheng",109.73
"China","Baiyin",110.76
"China","Binzhou",132.70
"China","Changzhou",133.68
"China","Datong",113.70
"China","Daxian",91.70
"China","Dongying",101.78
"China","Emeishan",119.75
"China","Enshi",49.88
"China","Ezhou",63.84
"China","Fuyu",146.67
"China","Fuzhou",32.90
"China","Haining",89.80
"China","Hami",81.80
"China","Hohhot",106.68
"China","Huaian",77.79
"China","Jinchang",129.68
"China","Jining",108.77
"China","Jinzhou",110.71
"China","Junan",78.77
"China","Korla",68.77
"China","Laiwu",81.75
"China","Laohekou",96.75
"China","Lengshuijiang",142.67
"China","Leshan",113.73
"China","Liaocheng",124.66
"China","Meixian",110.72
"China","Nanyang",91.79
"China","Pingxiang",86.80
"China","Qinhuangdao",128.71
"China","Rizhao",82.81
"China","Sanya",94.76
"China","Shanwei",109.71
"China","Shaoguan",112.72
"China","Shenzhen",70.82
"China","Suihua",92.78
"China","Tianjin",88.81
